film,rating,url
Kolo zázraků,55,https://kultura.zpravy.idnes.cz/kolo-zazraku-recenze-woody-allen-d4x-/filmvideo.aspx?c=A180104_094107_filmvideo_ts
Marie Terezie,55,https://kultura.zpravy.idnes.cz/marie-terezie-recenze-ct-08o-/filmvideo.aspx?c=A180101_172707_filmvideo_spm
Ztracen v džungli,50,https://kultura.zpravy.idnes.cz/ztracen-v-dzungli-daniel-radcliffe-recenze-fjh-/filmvideo.aspx?c=A171229_111022_filmvideo_vha
Největší showman,50,https://kultura.zpravy.idnes.cz/nejvetsi-showman-recenze-hugh-jackman-michael-gracey-pc7-/filmvideo.aspx?c=A171229_102828_filmvideo_vha
Borg/McEnroe,50,https://kultura.zpravy.idnes.cz/borg-mcenroe-recenze-film-wimbledon-1980-dhp-/filmvideo.aspx?c=A171228_104005_filmvideo_ts
Ferdinand,70,https://kultura.zpravy.idnes.cz/ferdinand-recenze-0mm-/filmvideo.aspx?c=A171221_153105_filmvideo_ts
Jumanji: Vítejte v džungli!,50,https://kultura.zpravy.idnes.cz/jumanji-vitejte-v-dzungli-recenze-drr-/filmvideo.aspx?c=A171220_111528_filmvideo_ts
Špindl,30,https://kultura.zpravy.idnes.cz/spindl-recenze-film-jaroslav-sauer-milan-cieslar-vasut-polivkova-krausova-kohak-gp7-/filmvideo.aspx?c=A171219_104827_filmvideo_ts
Cukrář,70,https://kultura.zpravy.idnes.cz/recenze-cukrar-01k-/filmvideo.aspx?c=A171217_170814_filmvideo_spm
Universum Brdečka,65,https://kultura.zpravy.idnes.cz/universum-brdecka-recenze-dcm-/filmvideo.aspx?c=A171215_162903_filmvideo_ts
Out,55,https://kultura.zpravy.idnes.cz/out-recenze-film-famu-gyorgy-kristof-ds4-/filmvideo.aspx?c=A171215_171926_filmvideo_ts
Thelma,65,https://kultura.zpravy.idnes.cz/thelma-recenze-joachim-trier-eili-harboe-fd4-/filmvideo.aspx?c=A171214_145832_filmvideo_ts
Star Wars: Poslední z Jediů,70,https://kultura.zpravy.idnes.cz/recenze-star-wars-posledni-z-jediu-d5y-/filmvideo.aspx?c=A171214_370518_filmvideo_spm
